f1,f2,MAC1,MAC2,LABEL
6.2556,14.706,0.9999999947,0.9999998738,0
6.2442,14.674,0.9999999987,0.9999999688,0
6.2333,14.643,1.0000000000,1.0000000000,0
6.2229,14.614,0.9999999980,0.9999999729,0
6.2129,14.586,0.9999999948,0.9999998939,0
6.2033,14.559,0.9999999958,0.9999999222,0
6.1942,14.533,0.9999999986,0.9999999802,0
6.1855,14.509,1.0000000000,1.0000000000,0
6.1773,14.486,0.9999999991,0.9999999847,0
6.1696,14.464,0.9999999967,0.9999999389,0
6.1623,14.444,0.9999999981,0.9999999558,0
6.1554,14.425,0.9999999993,0.9999999896,0
6.1491,14.407,1.0000000000,1.0000000000,0
6.1432,14.391,0.9999999995,0.9999999914,0
6.1378,14.376,0.9999999981,0.9999999690,0
6.1329,14.362,0.9999999993,0.9999999831,0
6.1284,14.35,0.9999999999,0.9999999962,0
6.1245,14.338,1.0000000000,1.0000000000,0
6.0172,13.916,0.9999170210,0.9990399221,1
5.9832,13.827,0.9999219026,0.9991822416,1
5.9365,13.714,0.9999393942,0.9994644783,1
5.9728,13.797,0.9999256813,0.9987302225,1
5.9552,13.748,0.9999236323,0.9986279936,1
5.9638,13.692,0.9997731978,0.9976047635,1
5.9589,13.699,0.9998303075,0.9973917542,1
5.9318,13.575,0.9996928730,0.9970239519,1
5.9651,13.632,0.9996197783,0.9953219677,1
5.9454,13.579,0.9996238032,0.9951883104,1
5.9445,13.578,0.9996431083,0.9944301495,1
5.8993,13.468,0.9996711924,0.9951932638,1
5.8957,13.427,0.9995802298,0.9941994774,1
5.9194,13.436,0.9994010328,0.9916971886,1
5.9653,13.506,0.9992304092,0.9873779416,1
5.8634,13.287,0.9994003063,0.9918762446,1
5.8665,13.263,0.9993043433,0.9886347725,1
5.8487,13.191,0.9991955601,0.9878641320,1
5.8663,13.183,0.9989513502,0.9843295826,1
5.8494,13.125,0.9988910330,0.9833850654,2
5.7999,13.003,0.9989043456,0.9850391955,2
5.8036,13.001,0.9988841222,0.9824481240,2
5.8012,12.971,0.9987807453,0.9799392820,2
5.7078,12.809,0.9991584191,0.9856554988,2
5.7466,12.825,0.9987568366,0.9794508896,2
5.7432,12.772,0.9984983206,0.9766244231,2
5.7513,12.74,0.9981787891,0.9721286239,2
5.7025,12.614,0.9981151027,0.9742755893,2
5.7371,12.641,0.9977574470,0.9657556284,2
5.6969,12.544,0.9977760474,0.9669686777,2
5.6504,12.44,0.9978561464,0.9689547717,2
5.6594,12.406,0.9974336053,0.9631280097,2
5.6215,12.315,0.9974570507,0.9638836306,2
5.6287,12.304,0.9973103930,0.9569654822,2
5.6255,12.241,0.9967975862,0.9520292222,2
5.5899,12.14,0.9966226842,0.9526366641,2
5.5732,12.08,0.9964832461,0.9490766653,2
5.5458,12.007,0.9964403604,0.9472603333,2
5.4939,11.838,0.9959459171,0.9438383026,3
5.51,11.821,0.9954406582,0.9311606136,3
5.4734,11.729,0.9953910453,0.9307346858,3
5.4477,11.626,0.9947297754,0.9300105100,3
5.4266,11.563,0.9946668173,0.9242140833,3
5.3605,11.451,0.9952642306,0.9288859686,3
5.3667,11.371,0.9937708174,0.9219219783,3
5.3776,11.334,0.9929394740,0.9067106971,3
5.3194,11.207,0.9929075341,0.9132674142,3
5.276,11.107,0.9929147708,0.9130668329,3
5.2786,11.056,0.9920254945,0.8986108613,3
5.245,10.969,0.9918924904,0.8931609436,3
5.2271,10.881,0.9908245692,0.8877268948,3
5.2,10.798,0.9904599536,0.8785346142,3
5.1461,10.67,0.9899162905,0.8872846349,3
5.1484,10.615,0.9887353055,0.8655822177,3
5.0482,10.446,0.9894992099,0.8890372070,3
5.0638,10.395,0.9872627930,0.8680982175,3
4.9755,10.241,0.9879418510,0.8840511752,3
5.9682,13.904,0.9999858636,0.9997785664,4
5.9384,13.792,0.9999796407,0.9999018441,4
5.9608,13.89,0.9999756345,0.9995476754,4
